latestPriceSource,count
Agent Provided,10485
Broker Provided,3950
Realty Austin,61
Public Record,50
"Compass RE Texas, LLC",41
Keller Williams Realty Southwest Market Center,39
Central Texas MLS,38
ABOR,35
Keller Williams Realty,27
Redfin Corporation,18
Moreland Properties,15
Kuper Sotheby's International Realty,14
 ,12
eXp Realty LLC,8
Allure Real Estate,8
Keller Williams Lake Travis,8
Keller Williams,7
AustinRealEstate.com,7
Kuper Sotheby's Itl Rlty,7
Coldwell Banker Realty,7
All City Real Estate Ltd. Co,7
Gottesman Residential R.E.,6
D.R. Horton - Austin,6
Central Metro Realty,6
"Vox Real Estate, LLC",6
The Agency Texas Inc,5
Co Op Realty,4
"Local Life Realty, LLC",4
Walzel Properties,4
"Maxavenue, LLC",4
Luisa Mauro Real Estate,4
VIP Realty,4
Patricia Bernhardt,4
JP and Associates Realtors,4
Twelve Rivers Realty,4
Buttross Properties,4
Spyglass Realty and Investment,4
Amazing Realty LLC,4
Networth Realty of Austin,4
Empire Real Estate,4
Coldwell Banker Realty - Northwest Austin,3
Zillow,3
One Austin Realty,3
The Davis Company,3
Owner,3
Creekview Realty,3
Team Price Real Estate,3
Texas Ally Real Estate Group,3
Auction.com,3
"Coldwell Banker United, Realtors - South Austin",3
Solutions Real Estate Texas,3
Better Homes and Gardens Real Estate homecity,3
Pacesetter Properties,3
Spyglass Realty,3
University Realty,2
Sky Realty,2
RE/MAX Capital City,2
Cityscape Property Group,2
EXP Marketing Group Inc.,2
StepStone Realty LLC,2
Team West Real Estate LLC,2
SLI Realty LLC,2
Kuper Sotheby?s International Realty,2
THE AUSTIN HOME COMPANY,2
List 4 Less Texas,2
DEN Property Group,2
Newcastle Homes,2
Stanberry REALTORS,2
TOWERS.net,2
Texas Premier Realty,2
Keller Williams via MLS,2
Horizon Realty,2
"Life Around Austin Realty, LLC",2
JBGoodwin REALTORS NW,2
Castle Hill Realty,2
"Coldwell Banker United, Realtors - Westlake",2
Agency Texas Inc,2
"Coldwell Banker United, Realtors - 183 Office",2
Hindsite 20/20 Real Estate Inv,2
