latest_saledate,count
2019-06-28,68
2019-04-30,65
2020-09-16,59
2019-05-31,56
2019-03-29,53
2020-08-14,53
2020-06-30,52
2019-02-28,51
2020-08-31,50
2019-07-01,49
2019-05-24,47
2020-07-31,47
2019-07-31,45
2020-04-30,44
2019-09-30,44
2020-05-29,44
2020-09-30,42
2020-12-21,42
2020-07-24,41
2020-07-02,41
2020-07-10,41
2019-06-03,41
2019-03-15,41
2019-08-30,41
2020-02-14,40
2020-07-17,40
2020-10-15,39
2020-10-30,39
2019-04-12,39
2019-06-21,39
2019-05-10,39
2019-05-17,39
2018-06-29,38
2019-11-15,38
2020-11-30,38
2020-11-20,38
2020-07-01,37
2019-06-14,37
2019-05-30,37
2018-06-01,37
2019-08-09,37
2020-07-07,37
2020-05-22,35
2018-04-27,35
2019-08-23,35
2019-12-30,35
2019-06-07,35
2019-08-01,35
2020-02-28,35
2018-06-15,34
2019-07-30,34
2020-05-15,34
2019-04-26,34
2018-05-01,34
2020-10-16,34
2019-05-28,33
2018-05-31,33
2019-06-27,33
2020-07-20,33
2019-10-18,33
2019-07-19,33
2020-09-10,33
2019-10-15,33
2019-12-20,33
2019-07-02,33
2020-07-09,33
2019-07-15,32
2019-09-16,32
2020-09-01,32
2018-06-22,32
2020-07-15,32
2020-07-08,32
2020-06-19,32
2019-09-20,31
2020-08-21,31
2020-11-16,31
2020-09-25,31
2020-06-29,31
2018-03-02,31
2019-08-02,31
2020-10-23,31
2019-08-16,30
2020-02-21,30
2020-09-24,30
2018-05-25,30
2020-07-30,30
2020-04-17,30
2020-08-10,30
2020-11-12,29
2019-04-15,29
2020-09-18,29
2020-09-04,29
2020-06-01,29
2020-10-09,29
2019-11-22,29
2019-02-22,29
2019-05-15,29
2020-11-06,29
2019-02-15,29
2020-08-28,29
2019-10-25,29
2018-11-30,29
2018-10-31,29
2018-06-30,29
2020-03-31,28
2020-12-11,28
2019-10-31,28
2020-03-27,28
2018-06-16,28
2018-05-30,28
2020-10-20,28
2020-03-13,28
2020-12-18,28
2018-12-21,28
2020-07-16,28
2020-06-12,28
2018-07-03,28
2019-12-31,28
2020-09-17,28
2020-07-27,27
2018-05-11,27
2019-04-05,27
2020-11-23,27
2019-03-08,27
2019-09-06,27
2019-07-26,27
2020-02-18,27
2020-04-03,27
2018-09-28,27
2020-07-06,27
2019-06-13,27
2020-05-08,27
2020-06-15,27
2019-06-24,27
2020-08-07,27
2019-11-26,27
2018-09-29,27
2020-04-24,27
2019-07-03,27
2020-12-07,27
2020-10-08,27
2018-03-29,27
2018-08-01,26
2018-07-21,26
2020-03-20,26
2020-08-03,26
2018-05-18,26
2018-05-24,26
2018-06-09,26
2018-03-01,26
2020-03-06,26
2018-04-24,26
2019-12-06,26
2019-01-31,26
2019-03-01,26
2019-04-19,26
2020-06-08,26
2019-08-29,26
2019-11-01,25
2020-06-17,25
2019-04-23,25
2019-05-29,25
2018-10-05,25
2018-07-20,25
2018-07-13,25
2020-11-05,25
2018-08-17,25
2020-10-19,25
2018-09-27,25
2019-10-01,25
2020-12-30,25
2019-07-12,25
2020-01-31,25
2019-06-26,25
2019-08-15,24
2018-07-25,24
2020-03-16,24
2019-05-03,24
2020-09-29,24
2019-09-03,24
2019-09-27,24
2019-06-17,24
2019-03-25,24
2020-08-17,24
2020-07-13,24
2019-04-29,24
2019-02-27,24
2019-12-16,24
2018-08-31,24
2019-05-22,24
2020-06-26,24
2020-03-23,24
2020-09-03,24
2018-08-14,24
2020-12-14,23
2018-03-23,23
2019-09-24,23
2018-04-13,23
2020-06-05,23
2019-02-14,23
2019-04-01,23
2018-08-15,23
2018-10-16,23
2020-05-01,23
2019-03-05,23
2018-04-06,23
2019-05-06,23
2018-08-04,23
2020-10-27,23
2019-04-18,23
2018-06-14,23
2020-10-02,23
2020-12-01,23
2018-07-17,23
2020-11-10,23
2019-09-19,23
2018-05-02,23
2019-09-12,23
2019-12-23,23
2019-07-17,23
2020-06-10,23
2020-11-24,23
2018-12-07,23
2019-07-22,22
2018-05-04,22
2018-10-12,22
2019-07-24,22
2020-10-06,22
2020-09-08,22
2020-08-13,22
2018-02-28,22
2019-05-01,22
2019-10-11,22
2020-10-05,22
2019-07-29,22
2019-04-08,22
2020-06-18,22
2018-08-21,22
2019-06-18,22
2019-09-13,22
2019-10-04,22
2018-10-19,22
2020-12-23,22
2018-04-26,22
2018-03-15,22
2020-12-10,22
2018-08-11,22
2018-05-19,22
2019-08-27,22
2020-10-29,21
2019-08-28,21
2018-04-18,21
2020-11-13,21
2019-05-21,21
2020-12-04,21
2019-06-11,21
2019-11-12,21
2019-11-08,21
2020-07-22,21
2019-09-04,21
2020-11-09,21
2020-11-02,21
2020-03-10,21
2018-03-27,21
2020-07-14,21
2020-03-12,21
2018-04-20,21
2019-08-07,21
2018-08-16,21
2018-03-30,21
2018-04-11,21
2018-06-06,21
2020-02-13,21
2020-02-07,21
2019-10-30,21
2018-09-07,21
2020-06-11,21
2019-07-09,21
2018-06-02,21
2020-12-15,21
2020-09-11,21
2019-08-20,21
2019-05-20,21
2019-08-19,21
2018-06-26,21
2018-06-28,21
2020-09-28,21
2020-11-19,21
2018-07-11,21
2018-03-16,21
2018-10-30,20
2019-10-07,20
2018-06-12,20
2018-08-30,20
2019-04-22,20
2020-11-18,20
2020-12-22,20
2020-09-14,20
2018-05-12,20
2018-02-23,20
2019-05-13,20
2020-06-25,20
2018-12-20,20
2020-12-16,20
2018-09-25,20
2019-04-11,20
2020-08-06,20
2020-09-15,20
2018-04-30,20
2018-11-29,20
2020-06-23,20
2020-04-13,20
2019-06-04,20
2018-08-03,20
2019-06-20,20
2018-04-03,20
2018-09-21,20
2018-11-16,20
2019-07-25,20
2018-06-21,20
2020-03-09,20
2020-11-25,19
2019-04-25,19
2020-02-27,19
2019-03-22,19
2020-12-31,19
2020-07-23,19
2020-06-04,19
