streetAddress,count
10816 Mickelson Dr,2
11209 Lost Maples Trl,2
2604 Arion Cir,2
4716 Amarra Dr,2
2404 Independence Dr,2
238 Lavaca Heights Dr,2
5712 William Holland Ave,2
2236 Webberville Rd,1
911 Fiesta St,1
73 Julius St,1
83 San Saba St,1
2614 E 2nd St,1
1106 Tillery St,1
2201 Canterbury St,1
3502 Neal St,1
2713 Zaragosa St,1
2518 E 3rd St,1
97 Lynn St,1
1907 E 8th St,1
2709 E 3rd St,1
2411 Santa Rosa St,1
2215 Garden St,1
2516 E 4th St,1
2310 E 9th St,1
804 Mill St,1
2202 E 10th St,1
1101 Euphoria Bnd #37,1
2703 E 2nd St,1
2615 E 2nd St,1
2201 Holly St,1
2213 Haskell St,1
2309 E 10th St,1
14424 Lake Victor Dr,1
203 Broadway St #2,1
2210 Canterbury St,1
1723 Bunche Rd,1
1803 Wildrose Dr,1
1909 E 2nd St,1
1911 Canterbury St #2,1
2709 Halcyon Dr #5,1
2513 E 9th St,1
2911 E 4th St,1
96 Lynn St,1
2400 Canterbury St,1
2737 Lyons Rd,1
2729 Lyons Rd,1
2403 E 9th St,1
1912 Canterbury St,1
604 Allen St APT 103,1
405 N Pleasant Valley Rd,1
401 N Pleasant Valley Rd,1
1905 Willow St,1
738 Pedernales St,1
2909 E 3rd St #2,1
744 Pedernales St,1
2619 E 5th St,1
2806 Lyons Rd,1
800 Prospect Ave,1
1805 E 3rd St,1
2402 E 9th St,1
2203 Santa Rosa St,1
1102 Tillery St,1
2305 Coronado St #A,1
1411 Waterloo Shore Ln #13,1
2511 E 4th St,1
2303 Santa Maria St,1
2013 E 11th St,1
2300 Santa Maria St,1
6008 Ponca St,1
2301 Santa Rosa St,1
2021 E 2nd St #2,1
3111 Garwood St,1
3107 Garwood St,1
2324 Santa Rita St,1
2517 Francisco St,1
3303 Govalle Ave,1
2401 Santa Rosa St,1
2001 Willow St,1
2304 Holly St,1
406 N Pleasant Valley Rd,1
2819 Garwood St,1
907 Tillery St,1
3002 Castro St,1
3018 Garwood St,1
2107 E 8th St,1
2513 E Cesar Chavez St,1
3116 Garwood St,1
