,Mean,Median,Mode
zpid,104419285.51117264,29494414.0,28584946.0
zipcode,78735.93296420803,78739.0,78748.0
latitude,30.291595999720414,30.28441619873047,30.17970085144043
longitude,-97.77853176908246,-97.76953887939452,-97.7695770263672
propertyTaxRate,1.9940847669896515,1.98,1.98
garageSpaces,1.2291872651769824,1.0,0.0
parkingSpaces,1.2245072836332476,1.0,0.0
yearBuilt,1988.554742601015,1993.0,2006.0
latestPrice,512767.7437215741,405000.0,325000.0
numPriceChanges,3.032891701272164,2.0,1.0
latest_salemonth,6.733043306308088,7.0,7.0
latest_saleyear,2019.0782413815832,2019.0,2020.0
numOfPhotos,30.640432403928546,29.0,1.0
numOfAccessibilityFeatures,0.012985300903038692,0.0,0.0
numOfAppliances,3.474721508140531,3.0,3.0
numOfParkingFeatures,1.7101048052204864,2.0,2.0
numOfPatioAndPorchFeatures,0.6633709050161493,0.0,0.0
numOfSecurityFeatures,0.4668775954122998,0.0,0.0
numOfWaterfrontFeatures,0.002768439786434645,0.0,0.0
numOfWindowFeatures,0.2084898820117329,0.0,0.0
numOfCommunityFeatures,0.018851756640959727,0.0,0.0
lotSizeSqFt,119083.9681233933,8276.0,11325.6
livingAreaSqFt,2208.3233142179156,1975.0,2068.0
numOfPrimarySchools,0.9406762902906862,1.0,1.0
numOfElementarySchools,0.049172763825720125,0.0,0.0
numOfMiddleSchools,1.0359897172236503,1.0,1.0
numOfHighSchools,0.9767978379803572,1.0,1.0
avgSchoolDistance,1.8384946990040965,1.5666666666666664,1.1666666666666667
avgSchoolRating,5.7799121173251775,5.778694090331862,7.0
avgSchoolSize,1237.3046602069737,1287.0,1533.0
MedianStudentsPerTeacher,14.857227605299585,15.0,16.0
numOfBathrooms,2.6830103486915826,3.0,2.0
numOfBedrooms,3.4403796717421398,3.0,3.0
numOfStories,1.4672730868103618,1.0,1.0
