,Missing Count
zpid,0
city,0
streetAddress,0
zipcode,0
description,2
latitude,0
longitude,0
propertyTaxRate,0
garageSpaces,0
hasAssociation,0
hasCooling,0
hasGarage,0
hasHeating,0
hasSpa,0
hasView,0
homeType,0
parkingSpaces,0
yearBuilt,0
latestPrice,0
numPriceChanges,0
latest_saledate,0
latest_salemonth,0
latest_saleyear,0
latestPriceSource,0
numOfPhotos,0
numOfAccessibilityFeatures,0
numOfAppliances,0
numOfParkingFeatures,0
numOfPatioAndPorchFeatures,0
numOfSecurityFeatures,0
numOfWaterfrontFeatures,0
numOfWindowFeatures,0
numOfCommunityFeatures,0
lotSizeSqFt,0
livingAreaSqFt,0
numOfPrimarySchools,0
numOfElementarySchools,0
numOfMiddleSchools,0
numOfHighSchools,0
avgSchoolDistance,0
avgSchoolRating,0
avgSchoolSize,0
MedianStudentsPerTeacher,0
numOfBathrooms,0
numOfBedrooms,0
numOfStories,0
homeImage,0
